time,precipitation_sum (mm),wind_speed_10m_max (km/h),temperature_2m_mean (°C)
2021-05-10,1.90,33.4,12.6
2021-05-11,0.60,26.0,11.4
2021-05-12,1.10,20.8,11.9
2021-05-13,5.30,18.3,10.8
2021-05-14,0.50,17.8,10.2
2021-05-15,3.40,16.9,10.4
2021-05-16,7.80,21.7,10.5
2021-05-17,3.70,18.5,11.7
2021-05-18,3.30,28.1,11.1
2021-05-19,5.70,23.1,11.3
2021-05-20,0.60,39.0,10.3
2021-05-21,4.00,47.9,11.2
2021-05-22,4.80,25.8,10.7
2021-05-23,6.80,34.2,9.8
2021-05-24,10.40,31.8,10.2
2021-05-25,0.80,27.8,10.6
2021-05-26,0.60,18.8,10.8
2021-05-27,0.00,13.0,13.3
2021-05-28,0.50,9.8,14.1
2021-05-29,0.00,17.3,14.1
2021-05-30,0.00,19.5,12.6
2021-05-31,0.00,18.1,15.4
2021-06-01,0.00,23.8,17.4
2021-06-02,0.10,19.3,19.0
2021-06-03,2.00,18.3,19.1
2021-06-04,6.70,14.4,14.5
2021-06-05,0.00,12.4,16.8
2021-06-06,1.10,10.1,16.6
2021-06-07,0.20,14.5,17.1
2021-06-08,0.00,14.0,17.5
2021-06-09,0.00,16.5,17.9
2021-06-10,0.40,18.8,18.4
2021-06-11,0.00,22.9,19.2
2021-06-12,0.00,13.8,18.4
2021-06-13,0.00,14.1,19.6
2021-06-14,0.20,14.8,21.0
2021-06-15,0.20,17.9,19.0
2021-06-16,0.80,16.5,20.8
2021-06-17,11.20,13.2,19.5
2021-06-18,29.10,26.4,15.0
2021-06-19,3.00,18.5,13.8
2021-06-20,5.50,18.6,14.9
2021-06-21,11.40,25.0,12.7
2021-06-22,0.60,27.0,12.9
2021-06-23,0.00,11.4,13.8
2021-06-24,0.40,15.2,14.9
2021-06-25,2.20,15.2,16.5
2021-06-26,0.10,13.6,15.9
2021-06-27,14.40,24.4,16.7
2021-06-28,7.80,17.8,17.2
2021-06-29,1.20,19.8,16.2
2021-06-30,0.40,14.5,14.4
2021-07-01,0.10,12.7,16.3
2021-07-02,0.90,14.5,18.1
2021-07-03,2.60,22.2,17.8
2021-07-04,5.00,27.8,16.5
2021-07-05,4.00,22.0,16.1
2021-07-06,8.50,36.6,15.5
2021-07-07,2.40,27.6,16.2
2021-07-08,2.00,14.1,16.6
2021-07-09,0.60,14.3,17.6
2021-07-10,1.50,10.3,15.5
2021-07-11,1.70,15.4,16.0
2021-07-12,16.00,13.2,16.4
2021-07-13,1.60,18.4,18.0
2021-07-14,0.30,21.1,18.6
2021-07-15,0.00,19.7,17.9
2021-07-16,0.00,17.0,17.8
2021-07-17,0.00,13.2,19.9
2021-07-18,0.00,9.3,22.2
2021-07-19,0.30,10.8,22.5
2021-07-20,0.00,17.3,22.6
2021-07-21,0.60,11.6,22.3
2021-07-22,0.00,14.1,21.0
2021-07-23,0.00,25.3,18.2
2021-07-24,14.30,24.6,18.3
2021-07-25,4.50,14.7,18.3
2021-07-26,2.20,15.3,19.3
2021-07-27,3.40,20.7,18.0
2021-07-28,6.10,31.0,16.7
2021-07-29,0.20,27.8,16.6
2021-07-30,2.60,39.2,16.6
2021-07-31,5.70,17.2,16.3
2021-08-01,4.20,15.2,16.3
2021-08-02,0.40,12.3,15.1
2021-08-03,0.80,11.0,15.7
2021-08-04,0.70,9.7,16.3
2021-08-05,2.10,26.0,16.4
2021-08-06,8.10,28.8,17.1
2021-08-07,3.70,26.8,16.0
2021-08-08,4.60,30.6,16.1
2021-08-09,10.10,24.4,15.9
2021-08-10,0.10,15.0,17.1
2021-08-11,0.00,19.0,17.3
2021-08-12,0.40,23.0,18.3
2021-08-13,0.30,24.0,17.4
2021-08-14,0.00,19.4,18.3
2021-08-15,1.20,24.5,18.0
2021-08-16,0.30,23.5,15.6
2021-08-17,0.60,21.9,15.3
2021-08-18,0.70,22.8,17.9
2021-08-19,0.50,17.4,16.5
2021-08-20,0.40,13.0,17.9
2021-08-21,5.50,12.5,17.3
2021-08-22,9.60,19.9,17.6
2021-08-23,0.10,16.9,17.0
2021-08-24,0.20,22.5,16.5
